,source,destination
0,orders,orders-db
1,user,user-db
2,shipping,rabbitmq
3,queue-master,rabbitmq
4,front-end,session-db
5,carts,carts-db
6,catalogue,catalogue-db
7,front-end,catalogue
8,front-end,orders
9,orders,payment
10,orders,shipping
11,front-end,user
12,orders,user
13,front-end,carts
14,orders,carts
15,carts-db,node1
16,catalogue-db,node2
17,shipping,node3
18,front-end,node1
19,orders,node3
20,carts,node3
21,orders-db,node2
22,payment,node1
23,queue-master,node3
24,user-db,node2
25,catalogue,node2
26,rabbitmq,node2
27,session-db,node1
28,user,node1
